Visitor/Neutral;PTS;Home/Neutral;PTS
Dallas Mavericks;111;Houston Rockets;104
Utah Jazz;94;Memphis Grizzlies;104
Atlanta Hawks;119;Miami Heat;121
New York Knicks;103;Orlando Magic;98
Los Angeles Lakers;90;Phoenix Suns;117
New Orleans Pelicans;113;Sacramento Kings;100
Toronto Raptors;99;San Antonio Spurs;112
Chicago Bulls;95;Brooklyn Nets;78
Los Angeles Clippers;103;Golden State Warriors;105
Miami Heat;101;Los Angeles Lakers;95
Oklahoma City Thunder;123;New York Knicks;94
Houston Rockets;111;San Antonio Spurs;98
Atlanta Hawks;127;Cleveland Cavaliers;125
San Antonio Spurs;116;Dallas Mavericks;107
Memphis Grizzlies;92;Houston Rockets;100
Los Angeles Clippers;112;Portland Trail Blazers;116
Milwaukee Bucks;93;Brooklyn Nets;104
Oklahoma City Thunder;89;Charlotte Bobcats;85
Phoenix Suns;86;Golden State Warriors;115
Washington Wizards;98;Minnesota Timberwolves;120
Denver Nuggets;89;New Orleans Pelicans;105
Toronto Raptors;95;New York Knicks;83
Detroit Pistons;92;Orlando Magic;109
Miami Heat;103;Sacramento Kings;108
Los Angeles Lakers;103;Utah Jazz;105
Charlotte Bobcats;116;Atlanta Hawks;118
Cleveland Cavaliers;100;Boston Celtics;103
Dallas Mavericks;105;Chicago Bulls;83
New Orleans Pelicans;98;Houston Rockets;107
Brooklyn Nets;91;Indiana Pacers;105
Utah Jazz;90;Los Angeles Clippers;98
Denver Nuggets;99;Memphis Grizzlies;120
Minnesota Timberwolves;117;Milwaukee Bucks;95
Philadelphia 76ers;101;Phoenix Suns;115
Miami Heat;108;Portland Trail Blazers;107
New York Knicks;100;Toronto Raptors;115
Detroit Pistons;82;Washington Wizards;106
Golden State Warriors;108;Cleveland Cavaliers;104
Philadelphia 76ers;111;Los Angeles Lakers;104
Houston Rockets;86;Oklahoma City Thunder;117
Atlanta Hawks;102;Orlando Magic;109
Sacramento Kings;104;San Antonio Spurs;112
Miami Heat;97;Denver Nuggets;94
Washington Wizards;106;Detroit Pistons;99
Phoenix Suns;107;Los Angeles Clippers;88
Chicago Bulls;95;Memphis Grizzlies;91
Dallas Mavericks;100;Minnesota Timberwolves;98
Portland Trail Blazers;108;New Orleans Pelicans;110
Charlotte Bobcats;80;Utah Jazz;83
Atlanta Hawks;92;Boston Celtics;91
Toronto Raptors;85;Chicago Bulls;79
Sacramento Kings;110;Houston Rockets;106
Cleveland Cavaliers;76;Indiana Pacers;91
Milwaukee Bucks;94;Los Angeles Lakers;79
Portland Trail Blazers;98;Oklahoma City Thunder;94
Golden State Warriors;94;Orlando Magic;81
Brooklyn Nets;92;San Antonio Spurs;113
Philadelphia 76ers;114;Denver Nuggets;102
Charlotte Bobcats;85;Los Angeles Clippers;112
New Orleans Pelicans;112;Minnesota Timberwolves;124
Indiana Pacers;82;Toronto Raptors;95
Dallas Mavericks;87;Washington Wizards;78
Boston Celtics;82;Chicago Bulls;94
Orlando Magic;81;Cleveland Cavaliers;87
Golden State Warriors;123;Miami Heat;114
Brooklyn Nets;95;Oklahoma City Thunder;93
Memphis Grizzlies;99;Phoenix Suns;91
Charlotte Bobcats;104;Portland Trail Blazers;134
Philadelphia 76ers;113;Sacramento Kings;104
New York Knicks;105;San Antonio Spurs;101
Milwaukee Bucks;87;Utah Jazz;96
Golden State Warriors;101;Atlanta Hawks;100
New Orleans Pelicans;95;Boston Celtics;92
Los Angeles Clippers;119;Dallas Mavericks;112
Memphis Grizzlies;108;Denver Nuggets;111
New York Knicks;100;Houston Rockets;102
Utah Jazz;99;Los Angeles Lakers;110
Toronto Raptors;101;Washington Wizards;88
Cleveland Cavaliers;82;Brooklyn Nets;89
Atlanta Hawks;84;Chicago Bulls;91
New Orleans Pelicans;82;Indiana Pacers;99
Oklahoma City Thunder;115;Minnesota Timberwolves;111
Miami Heat;110;Orlando Magic;94
Milwaukee Bucks;100;Phoenix Suns;116
Philadelphia 76ers;101;Portland Trail Blazers;99
Charlotte Bobcats;113;Sacramento Kings;103
Los Angeles Clippers;92;San Antonio Spurs;116
Indiana Pacers;82;Cleveland Cavaliers;78
New York Knicks;92;Dallas Mavericks;80
Memphis Grizzlies;112;Detroit Pistons;84
Denver Nuggets;137;Los Angeles Lakers;115
Toronto Raptors;97;Miami Heat;102
Boston Celtics;96;Oklahoma City Thunder;119
Golden State Warriors;112;Washington Wizards;96
Atlanta Hawks;86;Brooklyn Nets;91
Orlando Magic;81;Los Angeles Clippers;101
Minnesota Timberwolves;126;Philadelphia 76ers;95
Washington Wizards;97;Charlotte Bobcats;83
Phoenix Suns;87;Chicago Bulls;92
Philadelphia 76ers;93;Cleveland Cavaliers;111
Los Angeles Lakers;97;Dallas Mavericks;110
Boston Celtics;98;Denver Nuggets;129
Toronto Raptors;79;Indiana Pacers;86
San Antonio Spurs;110;Memphis Grizzlies;108
New Orleans Pelicans;88;Miami Heat;107
Golden State Warriors;101;Milwaukee Bucks;80
Detroit Pistons;85;New York Knicks;89
Portland Trail Blazers;119;Sacramento Kings;123
Oklahoma City Thunder;101;Utah Jazz;112
Indiana Pacers;87;Atlanta Hawks;97
Golden State Warriors;98;Brooklyn Nets;102
Los Angeles Lakers;99;Houston Rockets;113
Boston Celtics;105;Los Angeles Clippers;111
Phoenix Suns;104;Minnesota Timberwolves;103
Washington Wizards;102;New Orleans Pelicans;96
Orlando Magic;94;Portland Trail Blazers;110
Dallas Mavericks;90;San Antonio Spurs;112
Detroit Pistons;91;Toronto Raptors;112
Oklahoma City Thunder;88;Denver Nuggets;101
Miami Heat;92;New York Knicks;102
Houston Rockets;80;Atlanta Hawks;83
Miami Heat;95;Brooklyn Nets;104
Boston Celtics;97;Golden State Warriors;99
Washington Wizards;66;Indiana Pacers;93
Los Angeles Lakers;87;Los Angeles Clippers;123
Phoenix Suns;99;Memphis Grizzlies;104
Chicago Bulls;81;Milwaukee Bucks;72
Charlotte Bobcats;92;Minnesota Timberwolves;119
Dallas Mavericks;107;New Orleans Pelicans;90
Detroit Pistons;114;Philadelphia 76ers;104
Orlando Magic;83;Sacramento Kings;103
Cleveland Cavaliers;113;Utah Jazz;102
Charlotte Bobcats;97;Chicago Bulls;103
New Orleans Pelicans;107;Dallas Mavericks;110
Orlando Magic;94;Denver Nuggets;120
Phoenix Suns;108;Detroit Pistons;110
Milwaukee Bucks;85;Oklahoma City Thunder;101
New York Knicks;102;Philadelphia 76ers;92
Boston Celtics;104;Portland Trail Blazers;112
Brooklyn Nets;80;Toronto Raptors;96
Houston Rockets;114;Washington Wizards;107
Atlanta Hawks;101;Memphis Grizzlies;108
Cleveland Cavaliers;80;Sacramento Kings;124
Minnesota Timberwolves;86;San Antonio Spurs;104
Houston Rockets;104;Boston Celtics;92
Washington Wizards;102;Chicago Bulls;88
Orlando Magic;88;Dallas Mavericks;107
San Antonio Spurs;101;New Orleans Pelicans;95
Phoenix Suns;96;New York Knicks;98
Milwaukee Bucks;94;Toronto Raptors;116
Denver Nuggets;103;Utah Jazz;118
New York Knicks;98;Charlotte Bobcats;108
Sacramento Kings;92;Indiana Pacers;116
Cleveland Cavaliers;120;Los Angeles Lakers;118
Oklahoma City Thunder;87;Memphis Grizzlies;90
Toronto Raptors;83;Boston Celtics;88
Denver Nuggets;123;Golden State Warriors;116
Dallas Mavericks;127;Los Angeles Clippers;129
Memphis Grizzlies;82;Milwaukee Bucks;77
Sacramento Kings;111;Minnesota Timberwolves;108
Houston Rockets;103;New Orleans Pelicans;100
Chicago Bulls;128;Orlando Magic;125
Charlotte Bobcats;92;Philadelphia 76ers;95
Los Angeles Lakers;114;Phoenix Suns;121
Cleveland Cavaliers;96;Portland Trail Blazers;108
Utah Jazz;105;San Antonio Spurs;109
Miami Heat;97;Washington Wizards;114
Brooklyn Nets;127;Atlanta Hawks;110
Oklahoma City Thunder;104;Houston Rockets;92
New York Knicks;89;Indiana Pacers;117
Los Angeles Lakers;107;Boston Celtics;104
Cleveland Cavaliers;117;Denver Nuggets;109
Utah Jazz;110;Detroit Pistons;89
Sacramento Kings;90;Memphis Grizzlies;91
Los Angeles Clippers;109;New York Knicks;95
Golden State Warriors;121;Oklahoma City Thunder;127
Charlotte Bobcats;111;Orlando Magic;101
Miami Heat;101;Philadelphia 76ers;86
Dallas Mavericks;110;Phoenix Suns;107
Portland Trail Blazers;109;San Antonio Spurs;100
Minnesota Timberwolves;89;Toronto Raptors;94
Chicago Bulls;93;Washington Wizards;96
Miami Heat;104;Charlotte Bobcats;96
Philadelphia 76ers;78;Chicago Bulls;103
Portland Trail Blazers;127;Dallas Mavericks;111
Milwaukee Bucks;104;Houston Rockets;114
Los Angeles Clippers;92;Indiana Pacers;106
Utah Jazz;72;Minnesota Timberwolves;98
Golden State Warriors;97;New Orleans Pelicans;87
Detroit Pistons;104;Washington Wizards;98
Sacramento Kings;93;Oklahoma City Thunder;108
Boston Celtics;91;Orlando Magic;93
Denver Nuggets;103;Phoenix Suns;117
Milwaukee Bucks;82;San Antonio Spurs;110
Los Angeles Lakers;112;Toronto Raptors;106
Miami Heat;114;Atlanta Hawks;121
Toronto Raptors;95;Charlotte Bobcats;100
Los Angeles Lakers;100;Chicago Bulls;102
Dallas Mavericks;102;Cleveland Cavaliers;97
Los Angeles Clippers;112;Detroit Pistons;103
Indiana Pacers;102;Golden State Warriors;94
Portland Trail Blazers;113;Houston Rockets;126
New Orleans Pelicans;95;Memphis Grizzlies;92
Brooklyn Nets;103;New York Knicks;80
Philadelphia 76ers;99;Washington Wizards;107
Orlando Magic;90;Brooklyn Nets;101
Boston Celtics;86;Miami Heat;93
Sacramento Kings;114;New Orleans Pelicans;97
Portland Trail Blazers;97;Oklahoma City Thunder;105
Minnesota Timberwolves;112;Utah Jazz;97
Los Angeles Clippers;91;Charlotte Bobcats;95
Chicago Bulls;98;Cleveland Cavaliers;87
Sacramento Kings;98;Houston Rockets;119
Detroit Pistons;101;Milwaukee Bucks;104
Philadelphia 76ers;110;New York Knicks;106
Atlanta Hawks;112;Orlando Magic;109
Indiana Pacers;100;Phoenix Suns;124
Oklahoma City Thunder;111;San Antonio Spurs;105
Dallas Mavericks;85;Toronto Raptors;93
Boston Celtics;113;Washington Wizards;111
Los Angeles Lakers;102;Miami Heat;109
Denver Nuggets;105;Portland Trail Blazers;110
San Antonio Spurs;105;Atlanta Hawks;79
Oklahoma City Thunder;101;Boston Celtics;83
Dallas Mavericks;106;Brooklyn Nets;107
Los Angeles Clippers;112;Chicago Bulls;95
Milwaukee Bucks;78;Cleveland Cavaliers;93
New Orleans Pelicans;103;Detroit Pistons;101
Minnesota Timberwolves;121;Golden State Warriors;120
Memphis Grizzlies;88;Houston Rockets;87
Charlotte Bobcats;96;New York Knicks;125
Los Angeles Lakers;105;Orlando Magic;114
Toronto Raptors;104;Philadelphia 76ers;95
Washington Wizards;101;Phoenix Suns;95
Indiana Pacers;116;Sacramento Kings;111
Chicago Bulls;89;Charlotte Bobcats;87
Indiana Pacers;96;Denver Nuggets;109
Houston Rockets;81;Memphis Grizzlies;99
Atlanta Hawks;112;Milwaukee Bucks;87
Oklahoma City Thunder;103;Philadelphia 76ers;91
Minnesota Timberwolves;104;Portland Trail Blazers;115
Los Angeles Clippers;126;Toronto Raptors;118
Washington Wizards;101;Utah Jazz;104
Brooklyn Nets;85;Boston Celtics;79
Phoenix Suns;99;Cleveland Cavaliers;90
Detroit Pistons;106;Dallas Mavericks;116
Portland Trail Blazers;88;Golden State Warriors;103
San Antonio Spurs;101;Miami Heat;113
Orlando Magic;92;New Orleans Pelicans;100
Los Angeles Lakers;103;New York Knicks;110
Denver Nuggets;125;Sacramento Kings;117
Toronto Raptors;104;Brooklyn Nets;103
Minnesota Timberwolves;95;Chicago Bulls;86
Los Angeles Clippers;114;Milwaukee Bucks;86
Atlanta Hawks;109;Oklahoma City Thunder;111
Phoenix Suns;124;Philadelphia 76ers;113
Sacramento Kings;99;Utah Jazz;106
New Orleans Pelicans;100;Cleveland Cavaliers;89
Orlando Magic;87;Detroit Pistons;103
Washington Wizards;88;Golden State Warriors;85
San Antonio Spurs;90;Houston Rockets;97
Indiana Pacers;104;Los Angeles Lakers;92
Boston Celtics;88;New York Knicks;114
Memphis Grizzlies;98;Portland Trail Blazers;81
Philadelphia 76ers;95;Boston Celtics;94
Houston Rockets;117;Dallas Mavericks;115
Charlotte Bobcats;101;Denver Nuggets;98
Washington Wizards;103;Los Angeles Clippers;110
Oklahoma City Thunder;112;Miami Heat;95
Phoenix Suns;126;Milwaukee Bucks;117
New Orleans Pelicans;77;Minnesota Timberwolves;88
Memphis Grizzlies;99;Sacramento Kings;89
Chicago Bulls;96;San Antonio Spurs;86
Orlando Magic;83;Toronto Raptors;98
Los Angeles Clippers;92;Golden State Warriors;111
Phoenix Suns;102;Indiana Pacers;94
Cleveland Cavaliers;86;New York Knicks;117
Oklahoma City Thunder;120;Brooklyn Nets;95
Sacramento Kings;103;Dallas Mavericks;107
Toronto Raptors;100;Denver Nuggets;90
Charlotte Bobcats;110;Los Angeles Lakers;100
Memphis Grizzlies;94;Minnesota Timberwolves;90
Milwaukee Bucks;102;Orlando Magic;113
Atlanta Hawks;125;Philadelphia 76ers;99
Golden State Warriors;95;Utah Jazz;90
Minnesota Timberwolves;113;Atlanta Hawks;120
Philadelphia 76ers;96;Detroit Pistons;113
Cleveland Cavaliers;92;Houston Rockets;106
Brooklyn Nets;96;Indiana Pacers;97
Utah Jazz;87;Los Angeles Clippers;102
Milwaukee Bucks;90;Memphis Grizzlies;99
Chicago Bulls;79;New Orleans Pelicans;88
Miami Heat;106;New York Knicks;91
Charlotte Bobcats;95;Phoenix Suns;105
Toronto Raptors;103;Portland Trail Blazers;106
Sacramento Kings;93;San Antonio Spurs;95
Oklahoma City Thunder;81;Washington Wizards;96
Orlando Magic;89;Boston Celtics;96
Philadelphia 76ers;102;Brooklyn Nets;108
Cleveland Cavaliers;107;Dallas Mavericks;124
Los Angeles Clippers;115;Denver Nuggets;116
Orlando Magic;79;Indiana Pacers;98
Detroit Pistons;96;Miami Heat;102
New York Knicks;98;Milwaukee Bucks;101
San Antonio Spurs;102;New Orleans Pelicans;95
Memphis Grizzlies;77;Oklahoma City Thunder;86
Chicago Bulls;70;Sacramento Kings;99
Toronto Raptors;94;Utah Jazz;79
Portland Trail Blazers;90;Washington Wizards;100
Indiana Pacers;89;Atlanta Hawks;85
Charlotte Bobcats;91;Golden State Warriors;75
Los Angeles Lakers;99;Minnesota Timberwolves;109
Chicago Bulls;101;Phoenix Suns;92
Los Angeles Lakers;119;Cleveland Cavaliers;108
Milwaukee Bucks;100;Denver Nuggets;110
Phoenix Suns;108;Houston Rockets;122
Miami Heat;116;Los Angeles Clippers;112
Dallas Mavericks;110;Memphis Grizzlies;96
Atlanta Hawks;100;New Orleans Pelicans;105
Portland Trail Blazers;94;New York Knicks;90
Minnesota Timberwolves;97;Oklahoma City Thunder;106
Detroit Pistons;98;Orlando Magic;112
Boston Celtics;114;Philadelphia 76ers;108
Toronto Raptors;101;Sacramento Kings;109
San Antonio Spurs;125;Washington Wizards;118
San Antonio Spurs;89;Brooklyn Nets;103
Chicago Bulls;87;Golden State Warriors;102
Sacramento Kings;89;Boston Celtics;99
Utah Jazz;81;Dallas Mavericks;103
Brooklyn Nets;95;Detroit Pistons;111
Portland Trail Blazers;113;Indiana Pacers;118
Toronto Raptors;105;Los Angeles Clippers;118
Minnesota Timberwolves;91;New Orleans Pelicans;98
Denver Nuggets;90;New York Knicks;117
Oklahoma City Thunder;102;Orlando Magic;103
Los Angeles Lakers;112;Philadelphia 76ers;98
Cleveland Cavaliers;115;Washington Wizards;113
Memphis Grizzlies;79;Atlanta Hawks;76
San Antonio Spurs;104;Charlotte Bobcats;100
Denver Nuggets;109;Detroit Pistons;126
Houston Rockets;101;Milwaukee Bucks;95
Portland Trail Blazers;117;Minnesota Timberwolves;110
Golden State Warriors;109;Phoenix Suns;122
Miami Heat;89;Utah Jazz;94
Dallas Mavericks;102;Boston Celtics;91
New Orleans Pelicans;81;Brooklyn Nets;93
Memphis Grizzlies;83;Cleveland Cavaliers;91
Philadelphia 76ers;78;Los Angeles Clippers;123
Chicago Bulls;92;Los Angeles Lakers;86
New York Knicks;100;Oklahoma City Thunder;112
Indiana Pacers;92;Orlando Magic;93
Sacramento Kings;84;Washington Wizards;93
San Antonio Spurs;100;Detroit Pistons;109
Philadelphia 76ers;80;Golden State Warriors;123
Denver Nuggets;80;Indiana Pacers;119
Boston Celtics;102;Milwaukee Bucks;86
Houston Rockets;107;Minnesota Timberwolves;89
New Orleans Pelicans;101;Toronto Raptors;108
Dallas Mavericks;89;Charlotte Bobcats;114
Atlanta Hawks;85;Chicago Bulls;100
Sacramento Kings;99;Cleveland Cavaliers;109
Utah Jazz;96;Los Angeles Lakers;79
Washington Wizards;89;Memphis Grizzlies;92
Miami Heat;103;Phoenix Suns;97
Oklahoma City Thunder;98;Portland Trail Blazers;95
San Antonio Spurs;104;Boston Celtics;92
Charlotte Bobcats;89;Brooklyn Nets;105
Cleveland Cavaliers;93;Detroit Pistons;89
Miami Heat;111;Golden State Warriors;110
Washington Wizards;112;Houston Rockets;113
Dallas Mavericks;81;Indiana Pacers;73
Portland Trail Blazers;117;Los Angeles Clippers;122
New Orleans Pelicans;102;Milwaukee Bucks;98
Denver Nuggets;90;Minnesota Timberwolves;117
Sacramento Kings;106;New York Knicks;101
Memphis Grizzlies;86;Orlando Magic;81
Atlanta Hawks;83;Toronto Raptors;104
Philadelphia 76ers;100;Utah Jazz;105
Brooklyn Nets;76;Chicago Bulls;92
Oklahoma City Thunder;107;Los Angeles Lakers;103
Miami Heat;117;Dallas Mavericks;106
Phoenix Suns;112;Denver Nuggets;107
Charlotte Bobcats;108;Detroit Pistons;96
Atlanta Hawks;98;Indiana Pacers;108
San Antonio Spurs;113;Los Angeles Clippers;103
New York Knicks;93;Memphis Grizzlies;98
Orlando Magic;100;Milwaukee Bucks;104
Cleveland Cavaliers;114;Philadelphia 76ers;85
Toronto Raptors;103;Washington Wizards;93
Washington Wizards;114;Atlanta Hawks;97
Detroit Pistons;98;Charlotte Bobcats;116
Orlando Magic;93;Cleveland Cavaliers;101
Houston Rockets;134;Los Angeles Lakers;108
Indiana Pacers;91;Minnesota Timberwolves;104
New York Knicks;98;New Orleans Pelicans;91
Boston Celtics;94;Phoenix Suns;100
San Antonio Spurs;111;Portland Trail Blazers;109
Golden State Warriors;101;Sacramento Kings;92
Chicago Bulls;94;Toronto Raptors;92
Brooklyn Nets;105;Utah Jazz;99
Houston Rockets;99;Golden State Warriors;102
Denver Nuggets;101;Milwaukee Bucks;90
Miami Heat;103;Oklahoma City Thunder;81
New Orleans Pelicans;87;Charlotte Bobcats;90
Denver Nuggets;89;Chicago Bulls;117
Atlanta Hawks;107;Detroit Pistons;115
Boston Celtics;92;Los Angeles Lakers;101
Los Angeles Clippers;96;Memphis Grizzlies;102
New York Knicks;121;Orlando Magic;129
