Visitor/Neutral;PTS;Home/Neutral;PTS
Dallas Mavericks;124;Philadelphia 76ers;112
San Antonio Spurs;85;Phoenix Suns;106
Utah Jazz;94;Portland Trail Blazers;102
Cleveland Cavaliers;91;Toronto Raptors;98
New York Knicks;98;Atlanta Hawks;107
Memphis Grizzlies;89;Charlotte Bobcats;92
Dallas Mavericks;113;Detroit Pistons;102
Brooklyn Nets;86;Golden State Warriors;93
Indiana Pacers;110;Milwaukee Bucks;100
Boston Celtics;98;Sacramento Kings;105
Minnesota Timberwolves;121;Utah Jazz;104
New Orleans Pelicans;93;Washington Wizards;94
Washington Wizards;96;Cleveland Cavaliers;83
Sacramento Kings;109;Denver Nuggets;95
Brooklyn Nets;108;Los Angeles Lakers;102
Chicago Bulls;79;Miami Heat;93
Los Angeles Clippers;125;Oklahoma City Thunder;117
Houston Rockets;115;Phoenix Suns;112
Minnesota Timberwolves;97;Portland Trail Blazers;108
Orlando Magic;90;Toronto Raptors;105
Golden State Warriors;104;Detroit Pistons;96
Los Angeles Clippers;123;New Orleans Pelicans;110
Dallas Mavericks;110;New York Knicks;108
Milwaukee Bucks;130;Philadelphia 76ers;110
Boston Celtics;98;Utah Jazz;110
Chicago Bulls;107;Atlanta Hawks;103
Toronto Raptors;99;Cleveland Cavaliers;93
Portland Trail Blazers;100;Denver Nuggets;95
Los Angeles Lakers;98;Indiana Pacers;118
Minnesota Timberwolves;110;Phoenix Suns;101
Houston Rockets;129;Sacramento Kings;103
Orlando Magic;106;Washington Wizards;115
Atlanta Hawks;104;Boston Celtics;115
Golden State Warriors;83;Chicago Bulls;103
New Orleans Pelicans;89;Dallas Mavericks;108
Houston Rockets;93;Los Angeles Clippers;101
Los Angeles Lakers;103;Memphis Grizzlies;108
Cleveland Cavaliers;114;Oklahoma City Thunder;104
Orlando Magic;101;Philadelphia 76ers;90
Brooklyn Nets;80;Portland Trail Blazers;124
Detroit Pistons;110;San Antonio Spurs;120
Phoenix Suns;86;Utah Jazz;109
Brooklyn Nets;112;Denver Nuggets;89
Milwaukee Bucks;96;Indiana Pacers;101
New York Knicks;82;Miami Heat;108
Washington Wizards;134;Toronto Raptors;129
Utah Jazz;79;Cleveland Cavaliers;99
Chicago Bulls;100;Dallas Mavericks;91
Sacramento Kings;122;Los Angeles Lakers;126
Golden State Warriors;126;New York Knicks;103
Memphis Grizzlies;107;Oklahoma City Thunder;113
New Orleans Pelicans;104;Phoenix Suns;116
Charlotte Bobcats;82;San Antonio Spurs;92
Indiana Pacers;102;Boston Celtics;97
Detroit Pistons;110;Houston Rockets;118
New Orleans Pelicans;76;Los Angeles Clippers;108
Cleveland Cavaliers;96;Memphis Grizzlies;110
Orlando Magic;98;Miami Heat;112
Brooklyn Nets;107;Milwaukee Bucks;98
Washington Wizards;122;Philadelphia 76ers;103
Denver Nuggets;96;Portland Trail Blazers;102
Minnesota Timberwolves;108;Sacramento Kings;97
New York Knicks;90;Chicago Bulls;109
Utah Jazz;91;Indiana Pacers;94
Charlotte Bobcats;99;Oklahoma City Thunder;116
Philadelphia 76ers;81;Orlando Magic;92
Atlanta Hawks;120;Phoenix Suns;129
Dallas Mavericks;106;San Antonio Spurs;112
Golden State Warriors;98;Toronto Raptors;104
Chicago Bulls;80;Brooklyn Nets;96
Minnesota Timberwolves;132;Denver Nuggets;128
New York Knicks;85;Detroit Pistons;96
Charlotte Bobcats;107;Miami Heat;124
Utah Jazz;88;Milwaukee Bucks;114
Los Angeles Lakers;107;Portland Trail Blazers;106
New Orleans Pelicans;89;Sacramento Kings;96
Memphis Grizzlies;110;Washington Wizards;104
San Antonio Spurs;122;Cleveland Cavaliers;101
Miami Heat;103;Houston Rockets;106
Golden State Warriors;98;Indiana Pacers;96
New Orleans Pelicans;132;Los Angeles Lakers;125
Philadelphia 76ers;92;Oklahoma City Thunder;125
Los Angeles Clippers;104;Phoenix Suns;96
Golden State Warriors;108;Boston Celtics;88
Memphis Grizzlies;94;Brooklyn Nets;103
Indiana Pacers;87;Charlotte Bobcats;109
Dallas Mavericks;110;Denver Nuggets;115
Chicago Bulls;105;Detroit Pistons;94
Sacramento Kings;116;Milwaukee Bucks;102
New York Knicks;118;Minnesota Timberwolves;106
Houston Rockets;101;Orlando Magic;89
Atlanta Hawks;78;Portland Trail Blazers;102
Utah Jazz;91;Washington Wizards;104
Los Angeles Clippers;142;Los Angeles Lakers;94
Oklahoma City Thunder;122;Phoenix Suns;128
Miami Heat;87;San Antonio Spurs;111
Brooklyn Nets;84;Boston Celtics;91
Cleveland Cavaliers;92;Charlotte Bobcats;101
Memphis Grizzlies;85;Chicago Bulls;77
Portland Trail Blazers;98;Dallas Mavericks;103
Los Angeles Lakers;126;Denver Nuggets;134
Atlanta Hawks;97;Golden State Warriors;111
Indiana Pacers;86;Houston Rockets;112
Detroit Pistons;101;Minnesota Timberwolves;114
Milwaukee Bucks;104;New Orleans Pelicans;112
Utah Jazz;81;New York Knicks;108
Sacramento Kings;87;Toronto Raptors;99
New York Knicks;107;Cleveland Cavaliers;97
Atlanta Hawks;108;Los Angeles Clippers;109
Charlotte Bobcats;89;Memphis Grizzlies;111
Washington Wizards;114;Milwaukee Bucks;107
Utah Jazz;104;Philadelphia 76ers;92
Orlando Magic;112;San Antonio Spurs;121
Detroit Pistons;111;Boston Celtics;118
Sacramento Kings;89;Brooklyn Nets;104
Miami Heat;88;Chicago Bulls;95
Indiana Pacers;94;Dallas Mavericks;105
Phoenix Suns;107;Golden State Warriors;113
Portland Trail Blazers;113;Houston Rockets;118
Oklahoma City Thunder;110;Los Angeles Lakers;114
Toronto Raptors;111;Minnesota Timberwolves;104
Denver Nuggets;107;New Orleans Pelicans;111
Toronto Raptors;97;Brooklyn Nets;101
Denver Nuggets;98;Charlotte Bobcats;105
Phoenix Suns;105;Los Angeles Clippers;112
Washington Wizards;90;Miami Heat;99
Orlando Magic;98;Milwaukee Bucks;105
Philadelphia 76ers;110;New York Knicks;123
Atlanta Hawks;112;Utah Jazz;110
San Antonio Spurs;104;Chicago Bulls;96
Sacramento Kings;89;Detroit Pistons;99
Dallas Mavericks;85;Golden State Warriors;108
Boston Celtics;83;Indiana Pacers;94
Portland Trail Blazers;99;Memphis Grizzlies;109
Milwaukee Bucks;101;Minnesota Timberwolves;112
Houston Rockets;98;Oklahoma City Thunder;106
New York Knicks;116;Boston Celtics;92
Golden State Warriors;98;Los Angeles Clippers;111
Brooklyn Nets;96;Miami Heat;95
Memphis Grizzlies;90;New Orleans Pelicans;88
Denver Nuggets;120;Orlando Magic;112
Sacramento Kings;115;Philadelphia 76ers;98
Cleveland Cavaliers;110;Phoenix Suns;101
Portland Trail Blazers;90;San Antonio Spurs;103
Detroit Pistons;87;Toronto Raptors;101
Dallas Mavericks;108;Utah Jazz;101
Charlotte Bobcats;98;Washington Wizards;85
Milwaukee Bucks;97;Atlanta Hawks;102
Houston Rockets;87;Chicago Bulls;111
Los Angeles Lakers;102;Oklahoma City Thunder;131
Phoenix Suns;87;Boston Celtics;80
Minnesota Timberwolves;93;Charlotte Bobcats;105
Cleveland Cavaliers;103;Golden State Warriors;94
Denver Nuggets;111;Miami Heat;107
Portland Trail Blazers;111;New Orleans Pelicans;103
Washington Wizards;105;Orlando Magic;101
Indiana Pacers;101;Philadelphia 76ers;94
Los Angeles Lakers;85;San Antonio Spurs;119
Memphis Grizzlies;86;Toronto Raptors;99
Los Angeles Clippers;96;Utah Jazz;87
Denver Nuggets;92;Atlanta Hawks;97
Sacramento Kings;87;Chicago Bulls;94
Indiana Pacers;112;Detroit Pistons;104
Milwaukee Bucks;94;New York Knicks;115
Memphis Grizzlies;103;Philadelphia 76ers;77
Brooklyn Nets;94;Washington Wizards;101
Cleveland Cavaliers;80;Los Angeles Clippers;102
Houston Rockets;104;Miami Heat;113
Charlotte Bobcats;101;Milwaukee Bucks;92
Sacramento Kings;102;Minnesota Timberwolves;104
Boston Celtics;120;New Orleans Pelicans;121
Dallas Mavericks;109;Oklahoma City Thunder;86
Golden State Warriors;113;Portland Trail Blazers;112
Utah Jazz;104;San Antonio Spurs;122
Phoenix Suns;121;Toronto Raptors;113
Phoenix Suns;95;Brooklyn Nets;108
Atlanta Hawks;97;Charlotte Bobcats;83
Oklahoma City Thunder;97;Chicago Bulls;85
Boston Celtics;89;Dallas Mavericks;94
Los Angeles Clippers;100;Denver Nuggets;110
Utah Jazz;86;Houston Rockets;124
Philadelphia 76ers;90;Indiana Pacers;99
Toronto Raptors;113;Atlanta Hawks;118
Miami Heat;100;Cleveland Cavaliers;96
Orlando Magic;89;Golden State Warriors;103
Milwaukee Bucks;115;Portland Trail Blazers;120
Washington Wizards;111;Sacramento Kings;117
Miami Heat;96;Boston Celtics;101
Charlotte Bobcats;99;Brooklyn Nets;104
Minnesota Timberwolves;123;Dallas Mavericks;122
Detroit Pistons;109;Denver Nuggets;118
San Antonio Spurs;125;Los Angeles Lakers;109
Utah Jazz;86;Memphis Grizzlies;96
Toronto Raptors;107;New Orleans Pelicans;100
Indiana Pacers;86;New York Knicks;92
Chicago Bulls;102;Philadelphia 76ers;94
Orlando Magic;93;Phoenix Suns;109
Oklahoma City Thunder;102;Cleveland Cavaliers;95
Milwaukee Bucks;110;Golden State Warriors;115
Minnesota Timberwolves;106;Houston Rockets;129
Washington Wizards;103;Portland Trail Blazers;116
New Orleans Pelicans;111;Atlanta Hawks;105
Boston Celtics;98;Brooklyn Nets;114
Denver Nuggets;106;Dallas Mavericks;122
Chicago Bulls;79;Indiana Pacers;91
Washington Wizards;117;Los Angeles Lakers;107
Memphis Grizzlies;86;Miami Heat;91
New York Knicks;93;Philadelphia 76ers;92
Detroit Pistons;92;Phoenix Suns;98
San Antonio Spurs;99;Sacramento Kings;79
Oklahoma City Thunder;119;Toronto Raptors;118
Portland Trail Blazers;94;Charlotte Bobcats;124
Philadelphia 76ers;81;Chicago Bulls;91
Houston Rockets;118;Cleveland Cavaliers;111
San Antonio Spurs;99;Golden State Warriors;90
Detroit Pistons;103;Los Angeles Clippers;112
Indiana Pacers;71;Memphis Grizzlies;82
Miami Heat;95;New Orleans Pelicans;105
Orlando Magic;88;Utah Jazz;89
Brooklyn Nets;107;Dallas Mavericks;104
Washington Wizards;102;Denver Nuggets;105
Orlando Magic;94;Los Angeles Lakers;103
Phoenix Suns;127;Minnesota Timberwolves;120
Cleveland Cavaliers;106;New York Knicks;100
Milwaukee Bucks;107;Sacramento Kings;124
Atlanta Hawks;86;Toronto Raptors;96
Phoenix Suns;102;Atlanta Hawks;95
Houston Rockets;100;Charlotte Bobcats;89
Indiana Pacers;77;Chicago Bulls;89
Milwaukee Bucks;98;Los Angeles Clippers;106
Minnesota Timberwolves;92;Memphis Grizzlies;109
Portland Trail Blazers;91;Miami Heat;93
Brooklyn Nets;104;New Orleans Pelicans;109
Denver Nuggets;96;Oklahoma City Thunder;117
Philadelphia 76ers;91;San Antonio Spurs;113
Detroit Pistons;114;Utah Jazz;94
Toronto Raptors;100;Cleveland Cavaliers;102
Oklahoma City Thunder;119;Dallas Mavericks;128
New York Knicks;96;Los Angeles Lakers;127
Portland Trail Blazers;85;Orlando Magic;95
Toronto Raptors;99;Boston Celtics;90
Brooklyn Nets;111;Charlotte Bobcats;116
Cleveland Cavaliers;97;Detroit Pistons;96
Miami Heat;83;Indiana Pacers;84
Atlanta Hawks;83;Minnesota Timberwolves;107
Los Angeles Clippers;96;New Orleans Pelicans;98
New York Knicks;107;Sacramento Kings;99
Denver Nuggets;103;San Antonio Spurs;108
Memphis Grizzlies;91;Utah Jazz;87
Phoenix Suns;99;Washington Wizards;93
Portland Trail Blazers;100;Atlanta Hawks;85
Los Angeles Clippers;109;Dallas Mavericks;103
Philadelphia 76ers;98;Houston Rockets;120
Los Angeles Lakers;105;Milwaukee Bucks;108
Cleveland Cavaliers;97;Brooklyn Nets;108
Portland Trail Blazers;91;Chicago Bulls;74
San Antonio Spurs;133;Denver Nuggets;102
Miami Heat;110;Detroit Pistons;78
Memphis Grizzlies;93;Golden State Warriors;100
Los Angeles Lakers;107;Minnesota Timberwolves;143
Utah Jazz;95;New Orleans Pelicans;102
Sacramento Kings;81;Oklahoma City Thunder;94
Charlotte Bobcats;105;Orlando Magic;110
New York Knicks;88;Phoenix Suns;112
Boston Celtics;103;Toronto Raptors;105
Indiana Pacers;78;Washington Wizards;91
Sacramento Kings;100;Dallas Mavericks;103
Los Angeles Clippers;118;Houston Rockets;107
Miami Heat;88;Milwaukee Bucks;67
Detroit Pistons;98;Philadelphia 76ers;123
New Orleans Pelicans;80;San Antonio Spurs;96
Atlanta Hawks;97;Washington Wizards;101
Chicago Bulls;107;Boston Celtics;102
Minnesota Timberwolves;99;Brooklyn Nets;114
Indiana Pacers;76;Cleveland Cavaliers;90
New York Knicks;89;Golden State Warriors;84
Phoenix Suns;99;Los Angeles Lakers;115
Utah Jazz;96;Oklahoma City Thunder;116
Toronto Raptors;98;Orlando Magic;93
Memphis Grizzlies;98;Portland Trail Blazers;105
Philadelphia 76ers;95;Atlanta Hawks;103
Washington Wizards;94;Charlotte Bobcats;100
Boston Celtics;80;Chicago Bulls;94
Memphis Grizzlies;94;Denver Nuggets;92
Milwaukee Bucks;111;Detroit Pistons;116
San Antonio Spurs;103;Indiana Pacers;77
Toronto Raptors;83;Miami Heat;93
Los Angeles Clippers;114;Minnesota Timberwolves;104
Sacramento Kings;102;New Orleans Pelicans;97
New York Knicks;92;Utah Jazz;83
Houston Rockets;96;Brooklyn Nets;105
Golden State Warriors;122;Dallas Mavericks;120
Portland Trail Blazers;124;Los Angeles Lakers;112
Chicago Bulls;105;Atlanta Hawks;92
New Orleans Pelicans;107;Denver Nuggets;137
Detroit Pistons;94;Indiana Pacers;101
Milwaukee Bucks;77;Miami Heat;96
Memphis Grizzlies;88;Minnesota Timberwolves;102
Brooklyn Nets;81;New York Knicks;110
Cleveland Cavaliers;119;Orlando Magic;98
Charlotte Bobcats;123;Philadelphia 76ers;93
Los Angeles Clippers;112;Phoenix Suns;108
Los Angeles Lakers;102;Sacramento Kings;107
Golden State Warriors;90;San Antonio Spurs;111
Houston Rockets;103;Toronto Raptors;107
Boston Celtics;92;Washington Wizards;118
Dallas Mavericks;113;Los Angeles Clippers;107
San Antonio Spurs;94;Oklahoma City Thunder;106
Cleveland Cavaliers;98;Atlanta Hawks;117
Philadelphia 76ers;111;Boston Celtics;102
Detroit Pistons;104;Brooklyn Nets;116
Orlando Magic;80;Charlotte Bobcats;91
Milwaukee Bucks;90;Chicago Bulls;102
Sacramento Kings;69;Golden State Warriors;102
Oklahoma City Thunder;107;Houston Rockets;111
Dallas Mavericks;107;Los Angeles Lakers;95
Denver Nuggets;92;Memphis Grizzlies;100
Minnesota Timberwolves;122;Miami Heat;121
Washington Wizards;90;New York Knicks;89
Phoenix Suns;109;Portland Trail Blazers;93
Indiana Pacers;94;Toronto Raptors;102
New Orleans Pelicans;96;Utah Jazz;100
Charlotte Bobcats;96;Cleveland Cavaliers;94
Boston Celtics;111;Detroit Pistons;115
Toronto Raptors;102;Milwaukee Bucks;98
Minnesota Timberwolves;92;Orlando Magic;100
Brooklyn Nets;105;Philadelphia 76ers;101
Chicago Bulls;96;Washington Wizards;78
Utah Jazz;102;Golden State Warriors;130
Denver Nuggets;125;Houston Rockets;130
Atlanta Hawks;107;Indiana Pacers;88
Los Angeles Lakers;97;Los Angeles Clippers;120
New York Knicks;91;Miami Heat;102
Oklahoma City Thunder;115;Phoenix Suns;122
New Orleans Pelicans;94;Portland Trail Blazers;100
Dallas Mavericks;93;Sacramento Kings;91
Memphis Grizzlies;92;San Antonio Spurs;112
Detroit Pistons;102;Atlanta Hawks;95
Houston Rockets;145;Los Angeles Lakers;130
Brooklyn Nets;88;Miami Heat;87
San Antonio Spurs;91;Minnesota Timberwolves;110
Oklahoma City Thunder;107;Sacramento Kings;92
Dallas Mavericks;95;Utah Jazz;83
Boston Celtics;97;Atlanta Hawks;105
Detroit Pistons;100;Cleveland Cavaliers;122
Houston Rockets;116;Denver Nuggets;123
Oklahoma City Thunder;107;Los Angeles Clippers;101
Miami Heat;102;Memphis Grizzlies;107
Indiana Pacers;104;Milwaukee Bucks;102
Chicago Bulls;102;Minnesota Timberwolves;87
Phoenix Suns;94;New Orleans Pelicans;88
Brooklyn Nets;111;Orlando Magic;115
Sacramento Kings;99;Portland Trail Blazers;100
Philadelphia 76ers;114;Toronto Raptors;125
Charlotte Bobcats;94;Washington Wizards;88
San Antonio Spurs;109;Dallas Mavericks;100
Denver Nuggets;100;Golden State Warriors;99
Charlotte Bobcats;103;Boston Celtics;106
Atlanta Hawks;93;Brooklyn Nets;88
Detroit Pistons;98;Chicago Bulls;106
Golden State Warriors;112;Los Angeles Lakers;95
Philadelphia 76ers;95;Memphis Grizzlies;117
Indiana Pacers;86;Miami Heat;98
Cleveland Cavaliers;116;Milwaukee Bucks;119
Houston Rockets;110;Minnesota Timberwolves;112
New Orleans Pelicans;94;Oklahoma City Thunder;116
Washington Wizards;96;Orlando Magic;86
Phoenix Suns;104;San Antonio Spurs;112
New York Knicks;108;Toronto Raptors;100
Portland Trail Blazers;111;Utah Jazz;99
Miami Heat;85;Atlanta Hawks;98
Philadelphia 76ers;105;Charlotte Bobcats;111
Boston Celtics;111;Cleveland Cavaliers;99
Phoenix Suns;98;Dallas Mavericks;101
Utah Jazz;94;Denver Nuggets;101
New Orleans Pelicans;104;Houston Rockets;111
Sacramento Kings;101;Los Angeles Clippers;117
Milwaukee Bucks;91;Washington Wizards;104
Orlando Magic;88;Brooklyn Nets;97
Toronto Raptors;116;Detroit Pistons;107
Oklahoma City Thunder;97;Indiana Pacers;102
Memphis Grizzlies;102;Los Angeles Lakers;90
Chicago Bulls;89;New York Knicks;100
Golden State Warriors;117;Portland Trail Blazers;119
Minnesota Timberwolves;103;Sacramento Kings;106
Charlotte Bobcats;95;Atlanta Hawks;93
Orlando Magic;95;Chicago Bulls;108
Minnesota Timberwolves;120;Golden State Warriors;130
San Antonio Spurs;98;Houston Rockets;104
Oklahoma City Thunder;89;New Orleans Pelicans;101
Boston Celtics;108;Philadelphia 76ers;113
Memphis Grizzlies;97;Phoenix Suns;91
Milwaukee Bucks;100;Toronto Raptors;110
Los Angeles Lakers;119;Utah Jazz;104
Miami Heat;93;Washington Wizards;114
New York Knicks;109;Brooklyn Nets;98
Denver Nuggets;105;Los Angeles Clippers;117
Washington Wizards;118;Boston Celtics;102
Chicago Bulls;86;Charlotte Bobcats;91
Brooklyn Nets;85;Cleveland Cavaliers;114
Golden State Warriors;116;Denver Nuggets;112
Dallas Mavericks;105;Memphis Grizzlies;106
Philadelphia 76ers;100;Miami Heat;87
Atlanta Hawks;111;Milwaukee Bucks;103
Utah Jazz;136;Minnesota Timberwolves;130
Houston Rockets;100;New Orleans Pelicans;105
Toronto Raptors;92;New York Knicks;95
Detroit Pistons;111;Oklahoma City Thunder;112
Indiana Pacers;101;Orlando Magic;86
Los Angeles Clippers;104;Portland Trail Blazers;110
Phoenix Suns;104;Sacramento Kings;99
Los Angeles Lakers;113;San Antonio Spurs;100
